Proteins,N2_d5_01,N2_d5_02, N2_d5_03,N2_d5_04,N2_d1_01,N2_d1_02,N2_d1_03,N2_d1_04,N2_d10_01,N2_d10_02,N2_d10_03,N2_d10_04,N2_d15_01,N2_d15_02,N2_d15_03,N2_d15_04
A7DT41,21.7511,20.3296,20.3976,20.8546,21.4522,20.5941,20.7678,21.2938,18.9047,19.4749,17.9286,20.2632,22.4544,21.8561,19.5834,24.9286
A7DT41,24.5874,23.6456,22.4487,24.0283,25.3521,24.2168,23.9424,23.4319,20.8749,20.6043,20.1402,19.1318,17.7756,20.1566,18.4736,21.3917
A7DT41,21.5633,20.72,20.9932,21.6218,21.412,19.658,21.3901,21.2744,15.1323,20.626,17.4691,20.6805,19.091,17.5619,18.9025,20.811
A7DT41,24.3909,24.2133,23.16,25.5037,24.1845,20.9528,23.4102,23.4571,18.682,20.2086,18.7456,18.0015,19.1749,18.4957,18.0406,18.3972
A7DT41,24.1986,24.159,23.8291,25.9958,24.5448,23.4025,23.1043,23.8193,16.7566,19.8939,20.5756,20.2203,20.5073,20.3168,21.9282,22.0797
Q9XWW2,21.8746,21.5367,20.9151,21.1353,21.3288,21.232,20.8383,21.4169,19.0842,19.4561,19.525,20.366,19.2066,20.0383,21.0622,20.329
Q9XWW2,21.433,21.69,21.3709,21.6366,21.5198,20.3758,21.1726,21.0898,19.3944,18.8212,21.2513,19.4358,23.1948,24.4294,22.7508,22.6426
A7LPD6,21.6743,19.8499,20.6275,20.6893,21.7712,21.1057,21.3015,21.3149,18.2878,18.3792,19.5631,19.8285,18.926,20.0805,18.5009,19.5047
A7LPD6,24.8229,24.2219,24.4056,24.2488,24.3295,22.7091,22.7206,23.6534,23.8071,24.1422,24.1278,23.9624,26.0879,24.9093,24.6182,25.1035
A7LPE6,21.5082,20.64,20.72,21.4235,21.5275,21.2404,20.8049,20.7134,20.2094,19.9123,18.796,21.2944,20.3762,19.4208,20.2701,21.31
Q5FC71,20.5514,21.6184,20.6376,21.4186,20.3206,21.0849,20.6799,20.3585,21.2009,19.0205,18.2035,18.3436,24.7144,23.6264,24.8191,26.0258
Q5FC71,25.0205,24.5169,25.2637,24.6008,23.178,21.7079,23.041,22.4926,18.0799,19.8573,21.9117,21.1497,24.6505,24.6861,24.9436,24.4827
Q5FC71,25.4537,24.8747,25.349,26.1034,23.473,22.5561,23.3486,23.2706,23.245,23.0478,24.3309,23.7943,26.0837,25.0074,23.2823,23.3559
Q5FC71,29.3894,25.8352,26.9694,28.0083,23.4473,25.6413,23.8265,24.7489,30.7929,31.0411,30.0853,28.8552,25.5513,25.8081,27.8173,23.9464
Q5FC71,31.8317,31.9517,32.0767,32.8714,30.5159,28.3956,27.4724,27.457,33.0019,34.3821,33.6803,34.1913,32.2679,33.0049,29.3953,29.1028
Q5FC71,21.8161,21.795,21.4124,21.324,21.1731,21.0306,20.6905,20.6821,17.9528,20.2275,19.4644,19.4719,17.368,19.1597,20.3166,20.673
A8WFH7,24.3507,24.0027,24.0837,23.2815,21.9383,21.0262,21.0937,21.3629,25.096,26.4556,26.0217,26.7964,25.063,23.6007,22.0982,25.3421
A8WFH7,21.6912,21.455,21.1615,20.8753,21.6483,21.1861,21.274,20.5321,26.923,26.1803,25.9857,24.2337,25.7008,24.2427,25.4262,25.9514
A8WFH7,25.4484,24.5444,25.3189,25.973,21.9007,20.8866,21.1112,20.8968,25.1963,25.8901,25.4429,26.0555,24.6478,24.9616,23.6429,24.1458
H2KYH9,20.856,19.8511,21.1275,21.5647,20.9452,20.3794,21.3666,20.8089,19.7487,17.9815,18.4639,20.7233,19.3879,20.8717,19.7479,19.0681
A8WHP8;Q65ZB1,25.9795,23.7884,24.1989,25.6944,21.0232,20.9093,20.3694,20.2612,20.1272,19.2286,21.3475,18.0456,24.0634,23.4967,23.0104,24.4816
A8WHP8;Q65ZB1,21.4067,20.6294,20.3271,21.3441,21.4926,20.4379,20.3095,20.0491,21.037,16.9152,21.167,18.8475,17.1354,20.8986,20.093,20.5329
A8WHP8;Q65ZB1,20.6801,20.7892,20.8094,21.5652,21.8556,21.2609,20.4131,21.153,18.1382,21.431,19.504,17.8746,21.3205,20.2522,20.2152,19.3479
A8WHP8;Q65ZB1,20.5494,21.4381,20.9353,21.7761,21.055,20.9253,21.3503,20.5017,18.1333,19.0979,18.6337,17.3611,20.9376,20.4717,20.1587,20.062
A8WHP8;Q65ZB1,20.6053,21.1263,21.0482,20.5405,21.2944,20.9086,20.4398,21.4136,17.0459,17.4737,20.6031,21.1983,24.5639,23.7705,23.2198,25.8315
A8WHP8;Q65ZB1,21.6531,21.7826,21.1732,20.804,21.8871,20.6285,21.2773,21.3874,18.1265,18.3221,19.3027,17.3529,20.4907,19.6433,20.3711,19.3644
A8WHP8;Q65ZB1,27.3389,24.6685,24.4938,25.1839,23.2677,24.7549,24.1846,22.9503,20.8725,21.4506,20.0014,19.4163,21.0831,19.973,19.809,20.0161
A8WHP8;Q65ZB1,19.8402,21.3724,20.8171,21.6808,22.3801,22.2303,22.1913,23.5533,22.5225,21.7908,22.6423,22.012,23.7258,23.0494,24.1707,24.1196
A8WHP8;Q65ZB1,20.9013,20.9918,20.9498,21.8694,21.0094,20.4796,20.4503,20.9462,19.1138,20.0552,19.4904,19.7747,20.4522,19.4025,21.5374,19.0613
A8WHP8;Q65ZB1,21.6727,20.885,21.2466,21.206,21.5321,20.7202,20.872,20.2321,19.2174,21.6616,20.6503,18.285,21.5143,19.4221,18.579,17.8617
A9UJN7;Q7YXB8;Q18494,23.6844,22.0823,21.9277,22.9472,21.261,21.0153,20.4617,21.3037,21.8906,23.5375,22.3364,21.3585,23.5053,23.7493,23.0876,21.2754
A9UJN7;Q7YXB8;Q18494,21.3487,20.1665,21.3505,21.8295,24.5306,25.2145,23.6747,23.5798,18.4604,17.0602,20.2056,18.0101,19.2311,20.6968,18.6077,19.3129
A9UJP1,21.7495,21.4073,20.976,21.7883,21.4518,21.1751,19.9734,21.4049,18.9033,20.3709,18.6678,20.2278,21.3933,19.4812,18.0198,17.034
A9UJP1;Q95ZR6;Q9XVL1,22.4597,23.5879,23.175,23.6967,21.2025,20.9375,21.0627,21.0856,18.8719,20.8176,18.3692,19.4947,19.2506,20.6364,20.4422,19.6897
A9UJP1;Q95ZR6,22.7035,22.3939,20.4529,21.9649,23.9156,22.1042,21.0743,20.8243,24.8615,22.8557,25.1966,24.4543,21.3871,21.2699,20.2688,21.9666
A9UJP1;Q95ZR6;Q9XVL1,22.8473,21.9395,23.1153,22.7369,24.8843,20.9237,22.3069,21.0457,23.8391,23.8874,24.2484,22.8725,25.6334,26.8699,24.638,23.9589
A9Z1K9,19.9231,20.6072,20.2105,21.8903,21.8829,20.2243,20.7176,21.3981,24.0647,23.7384,24.1256,23.4516,21.5394,23.5686,23.0814,24.5124
B0M0L8;H2KYS1,25.0669,24.6252,24.1689,25.7503,23.4622,22.0198,21.9639,23.0405,24.3909,25.7657,26.1293,24.5924,25.3746,24.7047,25.5014,22.9531
B0M0L8;H2KYS1,26.4042,26.784,27.2719,26.8728,25.6005,26.2634,27.5623,27.6125,18.4858,20.3756,19.1893,20.2003,24.8394,24.8236,23.7881,25.6991
B0M0L8;H2KYS1,21.771,21.5422,20.5958,20.3997,21.1606,21.1918,21.1776,20.465,23.9399,23.6402,23.8659,24.4044,21.5699,21.4254,18.283,17.4387
B0M0L8;H2KYS1,21.6254,21.426,19.2773,20.1796,23.4548,20.7018,23.2471,21.3577,19.1502,21.3765,19.5067,15.6998,23.7064,23.9818,24.5245,24.5644
B0M0N4,21.5457,20.9462,20.6301,21.7356,21.6374,20.5461,20.3349,21.4086,18.554,19.3054,20.4548,19.3413,22.921,23.0128,23.1922,22.0914
B0M0N4,24.3545,24.1015,24.2058,24.8165,23.9416,23.9374,21.9504,22.5869,24.1034,24.6879,24.4911,23.8903,24.8491,24.2209,23.299,23.6631
B0M0N4,21.8675,21.4405,21.0146,21.0157,21.2342,21.0938,20.6816,20.849,22.5049,23.6314,22.1662,21.8206,20.8989,20.4911,20.9516,19.9531
B2D6M4,26.2487,26.0746,26.1457,25.9289,28.4802,23.7904,26.005,25.9466,25.6658,25.6644,26.3827,25.3771,25.0242,24.7169,22.3951,25.4842
B2D6M4,20.7393,20.1756,20.1562,20.8222,24.9736,22.7269,25.7027,23.5296,18.5606,20.6826,22.04,19.2727,20.3312,18.7969,18.3435,20.3708
B2D6P1,21.3708,20.4166,21.3986,21.5525,21.89,20.7663,20.8738,21.4188,21.2714,20.618,20.8077,20.1283,19.6455,19.1665,20.5828,19.0339
