ProteinAccessions;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04;log2 N2_d10_01;log2 N2_d10_02;log2 N2_d10_03;log2 N2_d10_04; -Log Student's T-test p-value N2_d15_N2_d10;Student's T-test q-value N2_d15_N2_d10; Student's T-test Difference N2_d15_N2_d10;Student's T-test Test statistic N2_d15_N2_d10;Sign p-val: 0.05 
A5Z2W7;17,8288;18,041;18,0494;17,8238;18,5571;19,1433;18,726;18,8657;3,15462;6,49E-05;-0,887282;-6,37442;+
A5Z2X2;14,1716;13,6143;13,5585;15,7738;14,3211;14,2314;14,4559;15,1531;0,182719;0,438497;-0,260804;-0,467603;
A6PVA1;14,0501;14,862;14,403;14,7882;16,0339;16,004;15,7184;16,2394;3,30933;0;-1,47311;-6,81244;+
A6ZJ46;15,9513;14,5068;14,5496;15,6476;16,9516;15,8337;16,3127;16,9454;1,57768;0,0060761;-1,34701;-2,92543;+
A6ZJ55;17,1156;16,3606;17,357;16,9722;18,8922;18,1141;18,0676;19,6482;2,15816;0,00145243;-1,72915;-4,02141;+
A6ZJ59;15,6178;13,0398;14,5242;15,236;17,2409;16,9135;17,3461;16,6587;2,21054;0,00120867;-2,43533;-4,12837;+
A7DT38;12,5784;11,8879;12,3202;12,4689;14,5027;13,486;14,2612;14,8979;2,98143;9,99E-05;-1,97311;-5,91032;+
A7DT40;14,5411;14,7057;14,9127;15,3487;15,1902;15,7259;15,1396;17,0037;0,97328;0,0318263;-0,887831;-1,89881;+
A7DT45;17,415;16,8817;16,6423;17,3359;14,114;14,1387;14,0786;14,9661;4,16379;0;2,74438;9,7076;+
A7DTF0;16,2077;15,884;15,8971;15,9421;17,029;16,9183;17,5271;18,5742;2,13132;0,00156608;-1,52948;-3,9672;+
A7DTF2;12,3563;12,1546;12,3251;12,5108;14,3501;14,2005;14,257;15,0693;4,21504;0;-2,13251;-9,91099;+
A7LPD6;15,5079;14,7516;14,8187;15,9033;14,5102;14,3944;14,3733;15,0574;1,07035;0,0245487;0,661555;2,0601;+
A7LPE4;13,1285;13,6099;13,9052;13,3783;14,6116;14,9428;14,1768;16,0579;1,79344;0,00333146;-1,44176;-3,3157;+
A7LPE6;17,5496;17,77;17,8473;17,9645;18,779;19,1198;19,2772;20,1526;2,64212;0,000440843;-1,54931;-5,07368;+
A7LPF3;15,2564;15,0551;15,1135;15,5388;14,2057;15,8866;15,4657;14,6305;0,191423;0,422213;0,193844;0,486992;
A7LPF5;15,5;15,4986;16,4486;14,905;14,1744;14,2543;14,4518;14,6376;1,94433;0,00236117;1,20855;3,59991;+
