Proteins,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
F5GUH0,23.6798,22.931,22.8826,21.8704,23.7031,23.1508,24.3396,22.4573
F5GUH0,22.2348,22.5811,23.9503,22.1159,24.0732,22.7917,21.2644,24.1433
F5GUH5,20.9637,20.0622,18.472,20.0856,21.3984,20.6689,20.5335,20.9693
F5GUH5,23.7723,24.2606,24.1638,24.7581,21.8907,21.2337,20.9863,21.3682
F5GUH5,19.4341,20.2295,18.3912,19.3295,21.3749,20.7821,20.9764,20.2108
F5GUH5,18.6889,21.1681,20.1421,20.3562,24.0567,23.2948,24.5214,24.3777
F5GUH5,20.1097,22.7691,22.6278,23.0374,21.9374,19.1751,19.8012,20.9531
F5GUH5,24.0954,23.2615,25.0874,23.3093,23.5061,24.246,23.7373,25.7784
F5GUH5,19.5364,18.3527,18.8386,21.0226,21.6497,20.4995,20.9559,21.1223
F5GUH5,23.2176,22.4559,22.3444,21.9836,21.4328,20.4669,21.2464,20.2673
F5GUH5,23.3797,23.6099,24.2852,22.4755,22.3574,19.575,21.8547,22.3802
F5GUH5,17.995,19.1409,19.1993,19.2084,21.089,20.8356,21.1954,21.2325
F5GUH5,24.5829,24.6239,24.9575,24.9802,21.6825,21.1707,20.4599,20.6835
F5GUH5,21.1861,19.5842,18.7329,19.8764,21.8422,21.2411,21.3886,20.6323
F5GUH5,19.4542,18.8969,19.6763,19.6763,20.7908,20.8976,20.975,20.2643
F5GUH5,22.8104,23.6355,22.5789,24.2658,23.705,24.1023,26.0372,25.9535
F5GUH5,23.1448,23.4865,23.4411,22.7899,23.1101,22.2412,23.1256,23.212
F5GUH5,18.4907,19.4484,19.9348,19.095,20.806,21.0234,21.0423,21.2626
F5GUH5,21.9413,23.3078,23.1897,23.9701,20.2983,19.8742,21.1892,21.1874
F5GUH5,23.8262,24.2318,24.6293,25.3392,27.1384,23.1634,23.8897,23.9181
F5GUH5,18.4717,21.4928,19.6379,20.0198,21.2811,20.2822,21.0017,20.9653
F5GUH5,20.069,20.2554,21.5544,18.8774,21.7775,20.4233,20.4673,20.9298
F5GUH5,22.6269,23.1474,24.3125,23.6947,21.8736,20.2303,20.0805,21.1189
F5GUH5,23.6393,23.805,22.2667,23.2822,23.3975,21.5198,20.7532,23.0273
F5GUH5,19.5091,18.487,20.6211,16.9355,22.6124,24.865,23.3004,25.0635
F5GUH5,19.5449,21.4002,19.861,18.2687,21.2699,20.4666,21.1603,21.1011
F5GUH5,23.3148,22.0236,24.5431,22.2709,23.8333,22.9623,21.863,23.168
F5GUH5,20.7949,19.5689,21.8077,18.7501,20.8217,19.8178,20.7708,21.2671
F5GUH5,17.569,19.3742,20.1951,18.3802,20.4513,20.9661,20.9726,21.2039
F5GUH5,30.8933,32.0188,24.7458,28.4877,24.644,22.4074,23.5112,24.346
F5GUH5,17.8198,17.8235,20.7676,16.6469,23.7405,21.5219,21.4524,22.4193
F5GUH5,22.8286,22.6279,23.4471,22.5939,21.0482,21.2269,21.3298,20.3456
F5GUH5,19.1988,18.4626,19.2741,17.4915,21.4053,20.4489,20.4571,20.8539
F5GUH5,18.4644,17.47,17.1427,19.3277,20.0343,19.5597,20.9498,20.2725
F5GUH5,17.3993,20.3039,21.25,18.1057,20.0233,20.7507,20.8344,21.2302
F5GUH5,21.8246,23.454,23.3713,23.2539,22.7516,23.6564,22.3388,24.4357
F5GUH5,20.4443,20.8964,21.5306,20.3932,21.2862,19.8779,19.6939,21.3131
G1K0V8,19.3329,20.1426,17.7119,16.795,23.537,21.7755,21.9146,23.141
G1K0V8,19.1536,18.2979,19.6507,18.1754,22.4765,21.7755,21.5306,22.4683
Q1ZXU6,26.727,26.3817,26.7905,25.7815,22.6716,21.889,22.4766,21.6801
G3MU14,19.7462,17.5782,20.3071,17.9435,24.801,23.3667,23.667,25.0094
G3MU81,17.643,18.8478,17.0341,19.3229,20.9629,20.3044,21.3689,21.36
G3MU88,18.9542,20.3207,21.3337,18.3234,21.2546,20.1613,20.3148,21.2347
G3MU88,20.754,19.4384,21.9728,18.2827,24.3267,22.988,23.4645,23.2543
G4RTI0,19.7205,19.0348,19.5367,19.8342,24.3429,26.0069,24.3631,23.9923
G4S034,18.5624,19.4784,18.3835,18.0383,24.7836,24.1942,23.828,23.7543
G4S034,17.738,19.4275,20.4183,20.64,23.7123,21.0194,19.3605,20.6747
G4S034,24.2741,24.158,22.8946,23.5561,22.3641,21.468,20.2732,21.5622
