Protein IDs;log2 rpn6_01;log2 rpn6_02;log2 rpn6_03;log2 ev_01;log2 ev_02;log2 ev_03; -Log Student's T-test p-value rpn6_ev; Student's T-test q-value rpn6_ev; Student's T-test Difference rpn6_ev;Student's T-test Test statistic rpn6_ev;Sign p-val: 0.05 
G5EBY3;30,9951;31,8832;31,642;31,2165;31,811;31,5275;0,0120666;0,984567;-0,0115439;-0,0365462;
G5EBZ4;28,3111;28,9258;28,5523;26,713;27,473;26,8862;2,24405;0,0109617;1,57232;5,39768;+
G5EC05;27,9982;27,5363;27,6564;27,2531;26,8447;26,6554;1,65251;0,0244406;0,812593;3,62501;+
G5EC16;27,1268;25,9286;26,5248;24,1773;24,1473;24,6073;2,38057;0,00848193;2,21611;5,88663;+
G5EC22;28,3375;27,8177;27,6641;27,3741;27,5272;27,3843;1,1466;0,0616416;0,511214;2,43814;
Q6A593;28,7994;28,6832;28,8191;27,3888;28,1053;28,4319;1,19693;0,0561389;0,791896;2,54647;
G5EC45;27,8513;28,1491;28,1289;26,6595;27,2254;27,3689;1,80888;0,0187969;0,95848;4,04591;+
G5EC67;26,2315;25,721;26,6777;25,7543;27,0463;27,3311;0,376002;0,473317;-0,500507;-0,896371;
G5EG66;31,9443;31,9568;32,1599;32,1488;31,0707;31,3542;0,682878;0,195844;0,495794;1,50184;
G5EC87;30,636;29,988;30,0816;30,9464;30,7715;30,9922;1,45594;0,0351918;-0,668144;-3,13549;+
G5EC91;28,3834;28,55;27,5182;27,4336;28,1924;28,5657;0,0653575;0,920546;0,086647;0,18765;
G5EDB1;30,2275;29,8964;29,9597;30,0676;30,1806;29,9802;0,154351;0,820549;-0,048254;-0,412847;
Q9N5B7;30,7726;31,7164;31,6274;31,3139;31,5153;31,3274;0,0144601;0,981581;-0,0134455;-0,0436806;
G5ECE3;25,4626;25,4988;26,2107;25,9917;25,3649;26,0415;0,0815079;0,896207;-0,0753581;-0,230681;
G5EEC0;28,3779;28,4195;29,4307;30,3397;29,2757;29,0224;0,689322;0,19303;-0,803254;-1,51439;
G5ECE7;26,3982;25,7382;26,5732;28,8811;28,7658;28,189;2,69299;0,0053125;-2,37544;-7,14695;+
G5ECF8;29,6784;30,2255;28,7475;27,9375;27,444;27,6157;1,84306;0,0174286;1,88474;4,14202;+
G5ECG0;29,3997;29,4549;29,0178;29,194;28,9221;29,2317;0,446093;0,388873;0,174876;1,0377;
G5ECG8;27,4886;26,6908;26,5998;24,2747;24,5773;24,4609;2,96191;0,00195305;2,48875;8,41511;+
G5EEQ7;22,4864;27,7574;27,8095;27,7602;27,4457;27,4102;0,358086;0,499151;-1,52094;-0,859666;
G5ECL3;29,5571;29,5841;28,6114;29,4272;29,1726;29,1552;0,00080993;0,9984;-0,000823975;-0,00248426;
G5ECM6;32,0152;31,3711;31,2262;29,4164;29,4194;29,3307;3,03593;0,0014898;2,14868;8,79819;+
G5ECM9;27,545;27,4897;27,3846;27,5779;28,0222;28,2411;1,1105;0,0681257;-0,473963;-2,36151;
