geneName;Leading.proteins,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04
hpo-34;E3W743;Q93636,20.0074,19.5519,17.5674,20.1372,18.4966,17.7621,18.1747,20.321
hpo-34;E3W743;Q93636,20.0883,21.5449,20.3009,19.5996,18.4288,19.072,21.0074,19.2332
hpo-34;E3W743;Q93636,18.2948,17.7425,18.9372,20.7214,18.6748,18.9115,20.0162,19.8909
hpo-34;E3W743;Q93636,20.0467,21.0779,19.7661,20.8193,21.5741,19.1829,19.0189,19.0798
hpo-34;E3W743;Q93636,21.3542,19.4475,18.4206,21.3112,20.943,20.6478,21.0941,17.8612
hpo-34;E3W743;Q93637,19.6761,20.3826,19.1973,18.5781,19.66,19.664,18.7326,18.5579
hpo-34;E3W743;Q93637,19.756,21.5578,19.0442,19.5797,20.7476,20.9904,21.895,20.7203
hpo-34;E3W743;Q93637,24.9955,23.1551,25.5042,22.7257,19.9632,21.54,18.0871,18.4275
hpo-34;E3W743;Q93636,20.4887,20.0819,19.0151,19.1537,17.9807,17.0455,18.2353,18.6324
hpo-34;E3W743;Q93636,21.0101,20.7695,19.9182,20.6416,19.4252,15.8617,19.0153,20.4825
hpo-34;E3W743;Q93636,24.619,24.5307,24.2829,21.9412,16.5367,17.8332,21.1235,21.3923
hpo-34;E3W743;Q93636;Q93637,17.693,20.8738,20.3564,19.5591,21.3221,19.3798,21.4137,17.605
hpo-34;E3W743;Q93636,20.1254,19.8166,20.7007,19.3465,19.9615,18.1723,19.5963,17.2766
;E3W759,20.9392,20.129,21.0024,19.7439,20.0788,20.7305,19.1967,19.1866
dnj-14;Q21162,20.8982,19.6229,19.7787,20.8728,17.9611,17.5575,20.6773,21.3504
dnj-14;Q21162,20.3904,19.6184,18.7218,20.7842,19.3718,19.4112,19.9417,19.7932
dnj-14;Q21162,27.0644,26.1601,23.7526,25.3785,19.2415,19.4902,18.3689,16.9741
dnj-14;Q21162,24.6941,23.3203,22.6984,25.1834,21.7305,22.3028,23.21,22.4261
mca-1;F5GU98,27.0809,25.4645,23.4729,22.9605,17.801,20.5786,19.6375,17.3511
mca-1;F5GU98,30.9591,30.2948,28.2682,29.8961,30.2329,29.8678,28.1936,28.7083
mca-1;F5GU98,25.3941,24.5854,26.4025,23.3723,19.4784,15.8816,20.0075,16.4658
mca-1;F5GU98,18.6861,18.8268,20.0567,20.0492,21.9424,21.0944,23.4222,20.3867
mca-1;F5GU98,18.4593,18.1113,19.8684,20.0161,20.629,19.5207,19.2296,19.4638
;F5GUH0,19.3909,18.9897,19.9869,18.8528,19.8911,17.59,21.3521,20.1659
;F5GUH0,23.1278,23.3311,21.8899,21.1776,23.6798,22.931,22.8826,21.8704
;F5GUH0,21.5083,20.5109,20.4935,20.2051,22.2348,22.5811,23.9503,22.1159
lea-1;F5GUH5;H2FLK8;H2FLK9,19.5375,20.9479,20.4123,17.4598,20.9637,20.0622,18.472,20.0856
lea-1;F5GUH5,22.6418,22.1889,22.694,23.9997,23.7723,24.2606,24.1638,24.7581
lea-1;F5GUH5;H2FLK8;H2FLK9,20.5658,19.7671,19.987,19.5756,19.4341,20.2295,18.3912,19.3295
lea-1;F5GUH5,23.2363,22.515,23.1371,23.6215,18.6889,21.1681,20.1421,20.3562
lea-1;F5GUH5,24.5193,23.2254,22.3751,25.3901,20.1097,22.7691,22.6278,23.0374
