geneName,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04
nlp-31;nlp-29;nlp-28,15.7372,14.8213,15.6394,15.3604,16.3962,15.7011,15.9874,16.2295
"C14C6,6",15.6111,15.3464,15.008,14.6225,16.8676,16.6713,16.6669,16.5346
"C14C6,2",17.9605,17.9586,17.9825,18.0303,12.9889,14.5154,16.134,13.7324
cpn-4,17.378,17.7457,17.6289,17.4929,16.0922,17.6065,17.1984,17.3951
prp-17,13.5736,13.2662,12.5494,12.4489,14.3546,12.9515,13.1031,13.3162
zig-7,14.9607,15.6047,14.4308,13.9595,14.7484,13.7924,14.314,13.9622
"CELE_F54D7,2",16.5507,17.6143,16.629,16.763,15.8565,15.7457,15.1922,15.2318
"CELE_F57B10,8",13.3863,13.2233,13.2276,13.1299,13.7007,13.4968,13.5905,13.7585
"CELE_F57B10,5",16.0847,15.5782,15.2424,15.0508,14.9567,15.437,15.4179,14.4865
bag-1,15.9564,15.8022,15.7639,15.8002,15.8776,16.0994,15.9288,16.0036
"CELE_F57B10,4",12.0269,11.8108,11.7618,11.8775,13.8159,13.674,12.6653,13.7684
app-1,16.1538,16.3473,16.1019,16.3018,16.6163,16.2006,16.3317,16.6607
"CELE_F33D11,10;CELE_Y65B4A,6",17.2218,17.1028,17.0771,17.057,16.8911,17.0074,16.5214,17.2186
vpr-1,16.7102,16.5995,16.6837,16.8557,16.7822,16.5145,16.3351,16.6068
usp-39,14.8159,12.6551,14.5845,14.7859,14.0504,13.9656,13.9835,13.9028
bath-4,13.232,13.7814,13.9223,14.1285,14.2151,13.9526,9.9178,14.4808
fgt-1,15.7359,15.7066,15.8485,15.9484,16.3089,16.4163,16.3361,16.3059
nep-2,14.0684,13.7492,13.6554,14.8169,14.5798,14.1338,14.5567,15.1206
clec-150,15.2006,14.9573,15.5784,14.8182,15.0341,14.3056,14.751,14.6487
inx-13,16.7506,16.8731,16.7258,16.5634,16.1202,15.3296,16.379,16.0415
"CELE_ZK484,3",15.5152,15.8951,15.2452,15.8152,14.7087,13.9852,14.3154,14.0765
haf-9,15.5291,15.389,15.6516,15.4202,16.1901,15.6381,15.5733,16.3072
msrp-2,15.8585,15.8151,15.6284,15.6384,15.8961,15.7901,14.4698,15.9572
pck-1,20.2665,20.1357,19.9676,19.9875,18.2919,19.0179,18.3928,18.5625
"CELE_W10G11,19",12.8097,13.4653,13.224,12.308,14.7491,13.3645,13.432,14.477
"C17F3,1",14.2807,14.5179,14.4056,14.6288,13.3762,13.1721,12.9706,13.3164
"C34B2,5",15.1673,13.2573,14.677,14.1664,14.7112,14.0862,14.3914,14.2115
lonp-1,15.6208,15.7972,15.6166,15.6747,15.5451,15.6853,15.3403,15.7535
"C34B2,10",15.8521,15.4506,15.5936,15.3893,15.2201,15.2224,14.7865,14.7262
sdha-2,16.3361,16.3215,16.2365,16.2485,15.9937,15.9934,15.638,15.5904
"C34B2,8",16.0898,15.8838,15.6948,16.2174,15.7244,16.4925,16.2697,15.8756
riok-1,14.6884,14.5459,14.9354,14.7011,13.4488,13.5288,13.1256,13.8721
"CELE_F56C11,3",12.9425,12.8262,13.1624,12.8809,12.8798,12.7586,13.7739,13.7268
"CELE_K02F2,5",15.987,16.1741,15.8751,15.8211,15.2394,15.2986,14.9886,15.7548
teg-4,15.215,15.3145,15.2197,15.2998,14.9981,14.6514,14.596,14.98
"CELE_K09H9,8",14.1872,14.3491,14.2928,14.287,12.6475,13.9177,12.4057,11.3342
lpd-6,15.2109,14.8612,14.9419,14.9553,14.3336,14.3263,14.0476,14.4898
"CELE_K09H9,2",13.4063,12.9205,13.1668,13.1047,10.1146,12.0212,11.2964,11.0958
"CELE_K12C11,1",18.1394,18.1427,18.1153,18.0749,17.5921,17.595,17.7261,17.5688
"CELE_W10C8,5",18.1657,18.2337,18.08,18.1495,18.4169,18.604,18.4522,18.1822
nol-5,17.8782,17.7912,17.7194,17.7539,17.3529,16.8896,17.2087,16.9697
"CELE_W01B11,6",14.2962,14.2345,14.5014,14.6162,15.0353,15.0839,15.1777,15.4591
"C35B1,5",19.428,19.4709,19.324,19.4068,18.6962,18.776,18.41,18.7851
"C11D2,4",13.1377,13.2958,12.7692,12.8693,13.512,13.119,13.0612,12.9134
"CELE_F53H1,3",12.2738,12.7508,11.5536,11.9426,10.5951,10.2762,10.2838,10.4147
"CELE_F53H1,4",13.9842,14.0066,14.0652,14.313,14.1783,13.3121,13.8943,14.1901
"C17H12,8",15.5405,15.4566,15.5799,15.5539,14.7422,15.0216,15.1369,14.8023
"C17H12,11",15.7989,15.3336,15.4573,15.5851,13.8073,12.9945,13.5544,13.5544
"C17H12,4",14.0734,14.0147,14.166,14.2984,13.476,13.7472,14.1402,13.8608
"C17H12,2",12.0245,11.6878,11.8702,11.8204,12.5949,12.0709,11.6305,12.5652
dyci-1,15.8527,15.7655,15.8474,15.7072,15.6656,15.4123,15.3633,15.7884
