geneName;Leading.proteins,log2 rpn6_01,log2 rpn6_02,log2 rpn6_03,log2 ev_01,log2 ev_02,log2 ev_03
unc-54;P02566,22.9646,22.8208,22.5714,27.9194,28.4683,28.0701
unc-54;P02566,22.9858,23.0156,22.8101,25.0449,25.1673,25.1723
unc-54;P02566,22.4979,22.8789,22.9307,23.8571,24.9152,24.3674
unc-54;P02566,22.8478,22.9648,22.6866,24.5094,25.5355,25.8038
unc-54;P02566,24.6882,24.4872,24.7404,24.8691,24.6084,24.8821
unc-54;P02566,26.5421,26.9634,26.1352,27.3585,23.1503,22.4421
unc-54;P02566,26.8935,27.1784,26.8181,25.6629,25.8169,25.9229
unc-54;P02566,27.3399,26.7897,26.8369,29.0624,28.8396,28.8965
unc-54;P02566,22.6743,22.8766,22.8108,24.147,24.4013,24.1044
unc-54;P02566,26.9816,27.2557,27.035,27.5105,27.3638,27.6175
unc-54;P02566,22.8259,22.944,22.9075,25.1989,25.404,25.2705
unc-54;P02566,25.3244,25.5212,25.9141,27.615,27.3797,27.9097
unc-54;P02566,22.6006,22.904,22.3041,26.217,26.7465,26.4438
unc-54;myo-1;P02566;P02567,24.7682,24.845,24.7157,23.0847,23.0914,23.098
unc-54;P02566,22.7292,22.9083,22.9381,25.7176,25.8003,26.0353
unc-54;P02566,22.8215,22.6639,22.7757,23.9109,25.5664,24.7967
his-11;his-4;his-48;his-41;P04255,23.9508,25.4896,26.0887,30.2481,29.2327,28.7486
vit-2;P05690,25.036,24.4414,24.338,22.9977,22.9285,22.7968
vit-2;P05690,25.036,24.4414,24.338,22.7956,23.0378,23.0525
vit-2;vit-1;P05690;P55155,25.0317,24.9825,24.7024,25.3708,25.5964,24.992
vit-2;vit-1;P05690;P55155,26.1385,26.1059,26.3069,23.0806,22.7721,23.0657
vit-2;vit-1;P05690;P55155,24.5087,24.5616,24.2057,22.6555,23.0035,22.8359
vit-2;vit-1;P05690;P55155,24.5965,24.8774,24.5333,23.1152,22.9887,22.9736
vit-2;vit-1;P05690;P55155,24.4709,25.2815,25.2743,23.0248,22.9418,23.1406
vit-2;vit-1;P05690;P55155,25.3586,24.9943,24.9515,23.0659,22.9658,22.7957
vit-5;vit-4;vit-3;P06125;P18947;Q9N4J2,22.8678,23.0369,22.8136,23.5666,22.9906,22.9303
hsp-16.41;P06581,25.2772,24.9086,23.4966,22.7808,23.061,22.7494
hsp-1;P09446,25.033,25.9097,25.6431,24.8688,25.5723,24.916
hsp-1;P09446,24.5942,24.5675,23.6648,25.1212,24.5683,24.8809
hsp-1;P09446,23.0358,22.9882,22.7815,23.6432,23.8344,23.9459
hsp-1;P09446,26.5133,25.863,26.0036,25.1553,21.5177,25.3999
hsp-1;P09446,31.7865,31.5947,31.1465,31.0187,31.19,31.1376
hsp-1;P09446,26.6677,27.2917,27.042,23.6396,26.6029,27.2386
hsp-1;P09446,24.9163,29.5222,26.2815,23.5339,25.7918,26.7438
hsp-1;P09446,24.8213,26.1691,26.0089,21.9127,20.8138,25.731
hsp-1;P09446,30.2299,29.7896,29.8138,27.9275,28.9554,28.2545
hsp-1;P09446,27.3192,26.7755,26.2886,26.4043,26.5628,26.2428
hsp-1;P09446,28.4082,27.5372,27.6528,27.8137,27.7687,27.0538
unc-15;P10567,25.1319,25.5841,25.9365,26.5911,27.4613,28.1798
unc-15;P10567,26.8389,26.7883,26.8433,25.5761,25.9951,26.4998
unc-15;P10567,22.7709,22.7997,22.7948,25.1962,25.1243,25.9438
unc-15;P10567,25.4131,26.5257,26.2135,26.2462,26.0096,26.3191
unc-15;P10567,28.4432,27.9952,28.8213,27.5879,27.181,27.8795
unc-15;P10567,22.5958,22.9942,22.9367,25.7323,26.0633,25.4774
unc-15;P10567,25.9903,25.6506,25.8352,25.833,26.302,25.7931
unc-15;P10567,22.9858,22.684,22.9074,26.7035,27.0305,26.8003
unc-15;P10567,22.8029,22.782,22.8922,29.3497,29.8066,29.514
unc-15;P10567,22.9776,22.7638,22.9579,26.097,26.0962,26.2964
myo-3;P12844,24.6403,24.282,24.6798,25.5655,24.9223,25.4987
myo-3;P12844,23.7125,23.5868,23.3855,24.4987,23.6866,23.8657
myo-2;P12845,22.0394,19.5502,20.1444,23.0017,22.0473,23.9615
myo-2;P12845,25.8716,26.7096,26.6042,22.8869,25.8825,26.5938
rol-8;P18831,25.9993,25.8828,26.2728,25.4721,24.8739,25.3227
vit-6;P18948,23.2543,23.5889,24.2894,23.0397,22.9868,22.928
vit-6;P18948,25.168,25.2728,24.8163,25.0517,25.1991,25.3042
vit-6;P18948,22.9687,22.9702,22.86,24.8378,25.1035,24.5672
vit-6;P18948,24.9685,25.1311,24.8839,25.7116,25.5059,24.8605
vit-6;P18948,25.5435,25.1383,25.1146,24.7948,25.0812,24.2522
vit-6;P18948,26.7249,27.0547,26.7539,27.2478,27.2373,27.0585
mlc-2;mlc-1;P19626,22.8264,22.959,22.9653,24.2719,24.4558,23.783
mlc-2;mlc-1;P19626,24.3167,24.9931,25.1483,23.1148,22.6335,23.1278
