geneName;Leading.proteins,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,,,,
;Q22832,21.2276,21.5547,20.6354,20.5055,25.3073,26.7902,26.0234,27.1309,,,,
;Q22832,25.435,25.4003,25.6343,25.4797,23.796,25.5118,25.5586,26.0285,,,,
;Q8WQB8,22.0855,20.489,19.631,21.2149,20.462,19.6709,21.2049,21.2928,,,,
tag-349;D3NQB5,20.7621,21.519,19.6622,20.0074,19.858,21.7673,21.5756,21.8638,,,,
cfp-1;D3YT77,19.7032,20.6854,20.0644,20.4718,23.0579,21.7964,24.7733,22.4304,,,,
cfp-1;D3YT77,19.9694,20.6495,20.7197,20.3783,20.4155,21.8365,20.9268,21.0737,,,,
dct-16;D4YWC3;Q9XX57,23.604,24.0338,23.7666,24.081,21.4333,20.9433,22.0595,22.2341,,,,
dct-16;D4YWC3;Q9XX57,24.4575,22.9531,21.5042,23.3842,22.7256,22.2712,23.2153,20.8154,,,,
dct-16;D4YWC3;Q9XX57,29.6367,25.1263,25.927,26.0358,23.5316,24.951,24.5745,26.6976,,,,
dct-16;D4YWC3;Q9XX57,26.3752,24.0211,24.3202,23.3132,24.5724,24.1726,23.2585,23.9493,,,,
dct-16;D4YWC3;Q9XX57,28.3872,26.1729,26.5648,25.0929,24.5962,26.2509,27.3165,25.7321,,,,
dct-16;D4YWC3;Q9XX57,26.3976,23.2654,24.2041,23.7284,21.0199,19.8687,22.1953,21.7426,,,,
dct-16;D4YWC3;Q9XX57,22.0872,20.3755,21.199,21.0296,22.6413,23.6886,23.9567,23.1156,,,,
larp-1;D5MCN2,20.7793,19.1281,18.2763,20.6026,19.3632,21.6291,21.1927,20.2531,,,,
sup-26;D5MCQ2,23.4853,24.8378,25.0097,24.0681,20.5531,23.5261,22.4428,23.3767,,,,
;O17698,22.1082,23.4655,25.0932,23.4196,21.8007,21.5575,23.2903,22.7348,,,,
mdt-9;D5SGZ9,25.0401,23.4298,22.9621,21.7778,21.4477,20.0657,21.1602,20.4018,,,,
mdt-9;D5SGZ9,21.6599,21.139,21.8208,20.6356,21.3475,20.6855,20.406,21.129,,,,
mdt-9;D5SGZ9,22.1737,27.9752,27.8341,27.1099,20.6243,20.0165,20.829,21.0184,,,,
nstp-10;C50F4.14;D6R8W5,21.4111,19.8683,20.5899,20.0127,20.947,21.2828,20.7847,20.6311,,,,
math-38;D6VPA0,24.6351,22.9607,23.1795,24.7299,24.2114,24.2647,22.7943,24.0267,,,,
;D7SFI3,21.7864,20.9101,20.8262,20.7634,19.9579,21.7285,21.4936,21.9161,,,,
gsto-1;D7SFI3;P34345,22.043,20.7618,20.7598,21.2172,20.7498,21.4681,19.2222,20.8547,,,,
;D7SFI3,21.2841,21.0327,20.8541,21.3301,20.9727,20.3889,19.7809,20.9525,,,,
;D7SFP5,20.7459,21.1784,20.0593,20.0774,21.0707,21.2785,21.7707,21.221,,,,
;D7SFP5,21.7601,19.6512,21.4424,20.87,20.5736,20.6922,20.5006,21.3977,,,,
cup-5;D7UU24,21.0685,20.3292,21.7643,19.8816,21.193,20.4172,20.7645,20.2306,,,,
cup-5;D7UU24,21.1658,20.3953,20.8076,21.2648,19.4921,21.6242,20.4722,20.9809,,,,
myrf-2;Q9U3I3,21.3365,20.1142,21.5621,20.1326,20.6532,20.3517,20.5951,21.28,,,,
snx-6;D9PTP5,21.1895,21.3824,20.7794,20.8273,20.342,20.5377,20.6389,21.5068,,,,
snx-6;D9PTP5,21.9078,21.0749,20.6752,21.6477,21.4286,21.0129,21.679,20.386,,,,
snx-6;D9PTP5,23.4527,23.6869,25.4489,23.7594,21.4505,21.0761,21.254,20.5541,,,,
;E0AHE1,21.3898,18.491,20.1687,19.5341,22.5211,22.1282,22.0692,22.4583,,,,
