geneName;Leading.proteins,log2 N2_d5_01,log2 N2_d5_02,log2  N2_d5_03,log2 N2_d5_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
hpo-34;E3W743;Q93636,20.5914,20.4525,20.1791,21.4076,23.5428,24.3677,25.1857,24.6602
hpo-34;E3W743;Q93636,20.797,20.3116,20.9251,20.9698,24.7024,25.561,24.5443,24.7651
hpo-34;E3W743;Q93636;Q93637,26.718,26.0773,25.4879,26.1418,30.0732,24.9371,23.2674,25.7456
hpo-34;E3W743;Q93636,21.5254,21.1544,20.9267,20.7617,20.6848,19.1646,20.6873,20.2848
;E3W759,21.8049,19.8537,20.9453,21.7305,20.7457,20.5547,20.4427,21.0517
dnj-14;Q21162,22.3058,22.6852,21.8727,22.7202,20.2162,20.6708,20.5076,21.3933
dnj-14;Q21162,20.8499,21.08,21.2007,20.9649,19.8448,21.2386,21.3443,20.9466
dnj-14;Q21162,25.7603,25.4249,23.5663,24.14,23.8383,22.9363,23.2485,24.5673
dnj-14;Q21162,23.3913,24.456,23.8687,24.6581,25.148,23.8594,25.9054,21.9546
mca-1;F5GU98,21.9294,21.1839,20.7691,19.6559,24.5464,24.2456,23.7088,22.8311
mca-1;F5GU98,27.4886,26.6176,27.2369,27.5002,29.7917,26.7292,27.6593,27.3145
mca-1;F5GU98,25.2846,25.0817,25.0791,26.1552,25.277,24.0358,21.2253,22.8006
mca-1;F5GU98,18.3867,20.188,21.0865,21.7958,23.7267,22.6404,25.1216,22.5127
mca-1;F5GU98,24.0343,23.8194,23.5306,23.4437,25.1966,23.5161,25.2979,22.9145
;F5GUH0,24.9709,23.1514,23.0486,22.3776,26.6805,24.6702,26.1119,24.1857
;F5GUH0,21.5557,20.3086,21.5235,20.6784,23.7031,23.1508,24.3396,22.4573
;F5GUH0,22.5926,21.2632,21.0606,20.9212,24.0732,22.7917,21.2644,24.1433
lea-1;F5GUH5;H2FLK8;H2FLK9,23.9531,23.3923,23.9389,24.3012,21.3984,20.6689,20.5335,20.9693
lea-1;F5GUH5,24.3907,25.1483,22.9269,24.8299,21.8907,21.2337,20.9863,21.3682
lea-1;F5GUH5;H2FLK8;H2FLK9,21.3442,21.3134,21.0909,21.6567,21.3749,20.7821,20.9764,20.2108
lea-1;F5GUH5,24.7918,24.0526,23.8662,24.7849,24.0567,23.2948,24.5214,24.3777
lea-1;F5GUH5,24.8412,24.2869,22.2823,24.5663,21.9374,19.1751,19.8012,20.9531
