geneName,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
dhs-9,16.4816,16.2215,16.0963,17.2827,15.1296,15.31,15.0182,15.0783
let-630,16.1921,16.1911,16.3849,16.5425,14.3048,14.6161,14.498,14.5682
ppw-2,15.8151,14.835,16.0767,14.3804,14.9039,14.8049,14.9483,15.0516
tyms-1,18.5698,18.0532,17.1699,18.8493,15.0577,15.008,15.0662,15.3959
"pfkb-1,1",16.3356,16.6023,16.415,17.2973,15.9926,16.1354,15.9802,15.8142
prp-31,15.6993,16.4448,15.4644,16.4528,14.6057,13.9153,14.2832,15.0076
elpc-1,15.3089,13.584,14.7935,11.729,13.6824,14.6571,14.7801,14.1982
pas-3,17.9141,18.2726,18.201,18.0272,16.8821,17.3129,16.7725,16.9834
spe-5,14.0613,13.9531,14.0771,15.0216,14.2041,14.154,13.9741,13.3499
"CELE_W08E12,7",18.9008,17.9825,18.0982,20.6365,18.0955,18.3504,18.4387,18.2789
rme-1,19.1362,19.2205,18.9876,19.5847,17.4535,17.2069,17.4319,17.7201
"CELE_W02H5,8",16.1742,16.7686,16.5637,16.6652,13.1469,13.7285,13.977,12.7366
lron-8,13.4317,14.2241,14.2935,15.0845,13.8555,14.0272,13.7808,13.7871
thoc-1,14.2866,14.2333,14.0493,14.6962,14.375,14.0524,13.8067,14.3274
"CELE_T02H6,11",14.2679,13.5202,13.5879,14.6456,18.7171,18.4938,18.2613,18.6859
"CELE_R193,2",15.6764,15.8077,15.4216,15.8426,15.6409,15.2684,15.2266,15.7298
dhs-14,14.8389,14.7078,14.9269,15.2163,15.5319,15.7066,15.6469,15.8882
"CELE_H43E16,1",14.0002,14.203,14.0519,14.7304,13.5737,11.3411,12.435,13.3947
